coiid,ecoclassidPES,mukey
628411,R018XI999CA,767850
2538514,R018XC105CA,464515
628440,R018XI105CA,767853
638383,R018XC999CA,1487068
638394,R018XC999CA,2370741
642786,R018XC999CA,2370764
2538490,R018XC105CA,464516
641567,R018XC105CA,464517
642789,R018XC999CA,2370765
638469,R018XC999CA,2370742
638475,R018XC999CA,2370743
638482,R018XC999CA,2370744
641579,R018XC105CA,464522
641582,R018XC105CA,464523
638593,R018XC999CA,2370747
638615,R018XC999CA,2370748
628628,R018XI999CA,767856
641600,R018XC105CA,464529
638640,F018XC201CA,464553
628666,R018XI999CA,767857
638674,R018XC999CA,2370750
638677,R018XC999CA,464554
638684,R018XC999CA,2370751
638684,R018XC999CA,464555
628954,R018XI999CA,461412
628958,R018XI999CA,461411
628962,R018XI999CA,461410
648246,R018XE999CA,2218127
648316,R018XE999CA,2218128
641607,R018XC105CA,464531
648355,F018XE201CA,2218129
648408,R018XE999CA,2218130
648448,R018XE999CA,2371039
648480,R018XE999CA,2218131
639352,R018XE102CA,463827
648608,R018XE103CA,467403
637171,R018XI999CA,462943
648509,R018XE999CA,2218133
1380734,R018XC105CA,464527
648545,R018XE999CA,2218134
637173,R018XI999CA,462945
637174,R018XI999CA,462946
647350,R017XD999CA,2218135
1273050,R022AO999CA,2371521
1273050,R018XC999CA,2218136
637175,R018XI999CA,462947
637176,R018XI163CA,462948
637177,R018XI163CA,462949
637178,R018XI163CA,462950
637179,R018XI163CA,462951
637180,R018XI163CA,462952
2405975,F018XI201CA,2924751
2405969,F018XI200CA,2924752
2405978,F018XI200CA,2924753
2485304,F018XI201CA,2924754
637181,R018XY999CA,462953
640646,R018XC999CA,464171
627094,R022BX999CA,459921
635383,F018XI205CA,462304
640651,R018XC999CA,464172
635385,F018XI205CA,462305
627098,R022BX999CA,459922
635387,F018XI205CA,462306
637508,F018XC201CA,463229
637825,F018XC201CA,463307
635389,F018XI205CA,462307
627102,R022BX999CA,459923
629000,R018XA999CA,460670
635391,F018XI205CA,462308
637510,R018XI999CA,463230
1676714,F018XC201CA,463308
635393,F018XI205CA,462309
627106,R022BX999CA,459924
637182,R018XI163CA,462954
637829,R018XC999CA,463309
627110,R022BX999CA,459925
627114,R022BX999CA,459926
629004,R018XA999CA,460671
637183,R018XI163CA,462955
637831,F018XC201CA,463310
637184,R018XI999CA,462956
637514,F018XC201CA,463231
637833,F018XC201CA,463311
2402182,R018XA999CA,460672
637185,R018XY999CA,462957
640656,F018XC201CA,464173
634850,R018XI999CA,462180
640657,F018XC201CA,464174
637835,F018XC201CA,463312
640661,F018XC201CA,464175
640661,F018XC201CA,2370768
627118,R022BX999CA,459927
637519,R018XI999CA,463232
640664,F018XC201CA,464176
640664,F018XC201CA,2370769
637838,F018XC201CA,463313
627119,R018XA999CA,459928
629036,R018XY999CA,460677
627765,F018XI205CA,460167
637841,R018XC105CA,463314
2538514,R018XC105CA,463630
627766,F018XI205CA,460168
637843,R018XC105CA,463315
641604,R018XC107CA,464530
627767,F018XI205CA,460169
634855,R018XI999CA,462181
635395,F018XI205CA,462310
637845,R018XC105CA,463316
2538490,R018XC105CA,463631
640667,F018XC201CA,464177
635398,F018XI205CA,462311
634862,F018XI205CA,462182
635401,F018XI205CA,462312
640670,F018XC201CA,464178
640672,F018XC201CA,464179
640672,F018XC201CA,2370771
637522,F018XC201CA,463233
627124,R018XA999CA,459929
637847,R018XC999CA,463317
638634,R018XC105CA,463633
627768,F018XI205CA,460170
637849,R018XC999CA,463318
637851,R018XC105CA,463319
628581,R018XI999CA,460461
640676,F018XC201CA,464180
640676,F018XC201CA,2370772
627770,F018XI205CA,460171
635406,F018XI205CA,462313
2482844,F018XI200CA,2924738
637853,R018XC105CA,463320
640678,F018XC201CA,464181
629039,R018XY999CA,460678
627773,R018XI999CA,460173
634877,R018XI999CA,462185
634880,R018XI999CA,462186
627774,R018XI999CA,460174
634883,R018XI999CA,462187
635409,F018XI205CA,462314
637532,F018XC201CA,463235
637537,R018XC999CA,463236
629042,R018XY999CA,460679
635796,R018XI163CA,462528
627776,R018XI999CA,460176
637544,F018XC201CA,463237
637550,F018XC201CA,463238
